COUNT of price,manager,,,,,,,,,,,
player_pos,David,Dongbo,Goutham,Michael,Noah,Peggy,Sam,Theo,Tom,Vinny,Wenlong,Yiding
A.J. Brown (WR),,,,,60.00%,,20.00%,,,,,20.00%
Aaron Jones (RB),,,,,,20.00%,,20.00%,20.00%,20.00%,,20.00%
Aaron Rodgers (QB),,66.67%,,,,,33.33%,,,,,
Aaron Shampklin (RB),,,,,100.00%,,,,,,,
Adam Thielen (WR),,,,,,,75.00%,,,,,25.00%
Adonai Mitchell (WR),,,,,50.00%,,50.00%,,,,,
AJ Barner (TE),,,,,100.00%,,,,,,,
AJ Dillon (RB),,,,50.00%,,,,,,,50.00%,
Alec Pierce (WR),50.00%,,,,,,,,50.00%,,,
Alexander Mattison (RB),,,,,,,,100.00%,,,,
Allen Lazard (WR),,,,,50.00%,,,,,50.00%,,
Allen Robinson II (WR),,100.00%,,,,,,,,,,
Alvin Kamara (RB),,,,,20.00%,,20.00%,40.00%,,,20.00%,
Amari Cooper (WR),66.67%,,,,33.33%,,,,,,,
Amon-Ra St. Brown (WR),,,,20.00%,20.00%,40.00%,,,20.00%,,,
Anthony Richardson (QB),,,,,,,50.00%,,,,,50.00%
Antonio Gibson (RB),,33.33%,,,,,,33.33%,33.33%,,,
Ashton Jeanty (RB),,,,,,,50.00%,,,50.00%,,
Austin Ekeler (RB),,25.00%,,25.00%,,,25.00%,,,,25.00%,
Baker Mayfield (QB),,,,,,,50.00%,50.00%,,,,
Bhayshul Tuten (RB),,,,50.00%,,,50.00%,,,,,
Bijan Robinson (RB),,,,20.00%,,40.00%,,,,20.00%,20.00%,
Blake Corum (RB),,50.00%,,50.00%,,,,,,,,
Bo Nix (QB),,,50.00%,,,,,,,,,50.00%
Braelon Allen (RB),,,50.00%,,,50.00%,,,,,,
Brandin Cooks (WR),,,33.33%,,,33.33%,,,33.33%,,,
Brandon Aiyuk (WR),,,,,,,,25.00%,,,50.00%,25.00%
Brandon Aubrey (K),66.67%,,,,,,,,,,33.33%,
Brandon McManus (K),,,,100.00%,,,,,,,,
Breece Hall (RB),,,,,,,20.00%,40.00%,,40.00%,,
Brett Maher (K),,,,100.00%,,,,,,,,
Brian Robinson Jr. (RB),,,,,,66.67%,,,,,33.33%,
Brian Thomas Jr. (WR),,,33.33%,33.33%,,,,33.33%,,,,
Brock Bowers (TE),,33.33%,,33.33%,,,,,,33.33%,,
Brock Purdy (QB),25.00%,,,25.00%,,25.00%,25.00%,,,,,
Bryce Young (QB),100.00%,,,,,,,,,,,
Bucky Irving (RB),,,50.00%,,,,50.00%,,,,,
C.J. Stroud (QB),100.00%,,,,,,,,,,,
Cairo Santos (K),,,,,,,,,,,,100.00%
Caleb Williams (QB),,33.33%,,33.33%,,,,,,33.33%,,
Calvin Ridley (WR),,,,,33.33%,,,66.67%,,,,
Cam Akers (RB),100.00%,,,,,,,,,,,
Cam Little (K),,,,,100.00%,,,,,,,
Cam Skattebo (RB),,50.00%,,,,,,,,,,50.00%
Cam Ward (QB),,,,,,,100.00%,,,,,
Cameron Dicker (K),,,25.00%,,,25.00%,,,,,25.00%,25.00%
Carnell Tate (WR),,,,,,,,,,,,100.00%
Cedric Tillman (WR),,,,,,,,,100.00%,,,
CeeDee Lamb (WR),,,,60.00%,,,20.00%,,,,,20.00%
Chase Brown (RB),50.00%,25.00%,,,,,,25.00%,,,,
Chase Claypool (WR),,,100.00%,,,,,,,,,
Chase Edmonds (RB),,,,,,,100.00%,,,,,
Chase McLaughlin (K),,,,100.00%,,,,,,,,
Chris Boswell (K),,,100.00%,,,,,,,,,
Chris Evans (RB),,100.00%,,,,,,,,,,
Chris Godwin (WR),20.00%,,,,40.00%,20.00%,,,20.00%,,,
