SUM of price,manager,,,,,,,,,,,
player_pos,David,Dongbo,Goutham,Michael,Noah,Peggy,Sam,Theo,Tom,Vinny,Wenlong,Yiding
A.J. Brown (WR),,,,,14.11%,,5.00%,,,,,5.26%
Aaron Jones (RB),,,,,,0.71%,,0.38%,2.22%,2.72%,,0.20%
Aaron Rodgers (QB),,0.80%,,,,,0.10%,,,,,
Aaron Shampklin (RB),,,,,0.10%,,,,,,,
Adam Thielen (WR),,,,,,,0.40%,,,,,0.91%
Adonai Mitchell (WR),,,,,0.10%,,0.10%,,,,,
AJ Barner (TE),,,,,0.10%,,,,,,,
AJ Dillon (RB),,,,0.50%,,,,,,,0.13%,
Alec Pierce (WR),0.10%,,,,,,,,0.10%,,,
Alexander Mattison (RB),,,,,,,,1.76%,,,,
Allen Lazard (WR),,,,,0.10%,,,,,0.60%,,
Allen Robinson II (WR),,0.80%,,,,,,,,,,
Alvin Kamara (RB),,,,,0.71%,,3.20%,2.39%,,,3.04%,
Amari Cooper (WR),2.21%,,,,0.81%,,,,,,,
Amon-Ra St. Brown (WR),,,,6.94%,0.81%,14.16%,,,5.25%,,,
Anthony Richardson (QB),,,,,,,0.10%,,,,,0.71%
Antonio Gibson (RB),,0.70%,,,,,,,0.10%,,,
Antonio Gibson (WR),,,,,,,,0.25%,,,,
Ashton Jeanty (RB),,,,,,,5.09%,,,4.83%,,
Austin Ekeler (RB),,0.10%,,7.85%,,,6.89%,,,,0.51%,
Baker Mayfield (QB),,,,,,,0.10%,0.88%,,,,
Bhayshul Tuten (RB),,,,0.10%,,,0.80%,,,,,
Bijan Robinson (RB),,,,6.74%,,16.28%,,,,7.44%,0.51%,
Blake Corum (RB),,0.10%,,0.30%,,,,,,,,
Bo Nix (QB),,,0.30%,,,,,,,,,0.10%
Braelon Allen (RB),,,0.10%,,,0.10%,,,,,,
Brandin Cooks (WR),,,1.61%,,,0.30%,,,0.10%,,,
Brandon Aiyuk (WR),,,,,,,,0.25%,,,3.80%,0.20%
Brandon Aubrey (K),0.80%,,,,,,,,,,0.38%,
Brandon McManus (K),,,,0.10%,,,,,,,,
Breece Hall (RB),,,,,,,0.80%,6.93%,,10.36%,,
Brett Maher (K),,,,0.10%,,,,,,,,
Brian Robinson Jr. (RB),,,,,,0.40%,,,,,0.38%,
Brian Thomas Jr. (WR),,,0.10%,5.43%,,,,0.38%,,,,
Brock Bowers (TE),,3.52%,,0.10%,,,,,,4.12%,,
Brock Purdy (QB),0.10%,,,0.40%,,0.10%,0.30%,,,,,
Bryce Young (QB),0.10%,,,,,,,,,,,
Bucky Irving (RB),,,4.73%,,,,2.20%,,,,,
C.J. Stroud (QB),1.31%,,,,,,,,,,,
Cairo Santos (K),,,,,,,,,,,,0.10%
Caleb Williams (QB),,0.60%,,0.40%,,,,,,0.10%,,
Calvin Ridley (WR),,,,,0.91%,,,7.05%,,,,
Cam Akers (RB),3.12%,,,,,,,,,,,
Cam Little (K),,,,,0.10%,,,,,,,
Cam Skattebo (RB),,2.11%,,,,,,,,,,0.20%
Cam Ward (QB),,,,,,,0.20%,,,,,
Cameron Dicker (K),,,0.10%,,,0.20%,,,,,0.25%,0.10%
Carnell Tate (WR),,,,,,,,,,,,0.81%
Cedric Tillman (WR),,,,,,,,,0.10%,,,
CeeDee Lamb (WR),,,,18.61%,,,6.79%,,,,,6.17%
Chase Brown (RB),4.32%,0.10%,,,,,,6.93%,,,,
Chase Claypool (WR),,,0.10%,,,,,,,,,
Chase Edmonds (RB),,,,,,,0.40%,,,,,
Chase McLaughlin (K),,,,0.30%,,,,,,,,
Chris Boswell (K),,,0.10%,,,,,,,,,
Chris Evans (RB),,0.10%,,,,,,,,,,
Chris Godwin (WR),0.50%,,,,3.33%,0.10%,,,0.30%,,,
Chris Olave (WR),,,,2.72%,,,0.10%,0.63%,,2.62%,6.21%,
Chris Rodriguez Jr. (RB),,,0.10%,,,,,,,,,
Christian Kirk (WR),,0.40%,,,0.10%,,0.30%,,0.20%,,,
Christian McCaffrey (RB),,7.24%,6.45%,,,8.49%,,8.31%,10.09%,,,
Christian Watson (WR),,,0.10%,,,,,,1.01%,,0.25%,
Chuba Hubbard (RB),,2.11%,,,,,0.30%,,0.10%,,,
Clyde Edwards-Helaire (RB),,0.50%,,,,,,,,,,
Cole Kmet (TE),,,,0.10%,,,,0.13%,,,,
Colston Loveland (TE),,,,,,,1.60%,,,,,0.20%
Cooper Kupp (WR),7.74%,,1.81%,,,,7.29%,,,,,
Cordarrelle Patterson (RB),,,,,,,,,0.10%,,,
Courtland Sutton (WR),0.10%,1.61%,,,,0.10%,,,,,1.39%,
Curtis Samuel (WR),,,,,,,,,,,,0.10%
D'Andre Swift (RB),1.11%,,6.04%,,1.01%,0.30%,,,,,,
D'Onta Foreman (RB),,,0.10%,,,,,,,,,
